N,nprocs,tol,max_iters,mode,converged,iters,res0,res_final,rel_final,l2_error,max_error,runtime_sec
257,1,1e-08,10000,GenericRHS,1,399,45.3748185831,4.2689754145e-07,9.40824789565e-09,-1,-1,0.349583823
257,2,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897176225e-07,9.40823984658e-09,-1,-1,0.221438393
257,4,1e-08,10000,GenericRHS,1,399,45.3748185831,4.2689733031e-07,9.4082432424e-09,-1,-1,0.139166205
257,8,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897525473e-07,9.40824754353e-09,-1,-1,0.111906664
513,1,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031134498e-07,9.58715827045e-09,-1,-1,3.362042057
513,2,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031139367e-07,9.5871583241e-09,-1,-1,1.509323811
513,4,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031135332e-07,9.58715827964e-09,-1,-1,0.711333417
513,8,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031137476e-07,9.58715830326e-09,-1,-1,0.391286235
1025,1,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407420462e-06,9.99493916046e-09,-1,-1,19.433225331
1025,2,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407420591e-06,9.99493916754e-09,-1,-1,11.187848398
1025,4,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407418638e-06,9.99493905997e-09,-1,-1,6.893806918
1025,8,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407417456e-06,9.99493899482e-09,-1,-1,3.09310381
2049,1,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291514769e-06,9.5397492922e-09,-1,-1,138.533608189
2049,2,1e-08,10000,GenericRHS,1,3140,362.998548665,3.4629151159e-06,9.53974920461e-09,-1,-1,74.844029362
2049,4,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511334e-06,9.53974919755e-09,-1,-1,40.729846692
2049,8,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511383e-06,9.5397491989e-09,-1,-1,22.931655751
4097,1,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25600729634e-06,9.99454036804e-09,-1,-1,1061.69081527
4097,2,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25597374225e-06,9.99449415009e-09,-1,-1,558.652437743
4097,4,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25597076558e-06,9.99449004998e-09,-1,-1,294.160846963
4097,8,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596952558e-06,9.99448834199e-09,-1,-1,154.962189775
