N,nprocs,tol,max_iters,mode,converged,iters,res0,res_final,rel_final,l2_error,max_error,runtime_sec,t_halo,t_applyA,t_axpy_u,t_axpy_r,t_update_p,t_dot,t_cg_total
257,1,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897624663e-07,9.40824972955e-09,-1,-1,0.12404217,0.008100905,0.006346073,0.006232416,0.006201511,0.006215171,0.076773223,0.109023265
257,2,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897310788e-07,9.40824281218e-09,-1,-1,0.116145536,0.025360889,0.008257269,0.006164614,0.006724056,0.006143662,0.057162554,0.101691058
257,4,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897637629e-07,9.40825001531e-09,-1,-1,0.12010058,0.037096792,0.008552792,0.006949634,0.005946423,0.00596168,0.044480975,0.103013692
257,8,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897250272e-07,9.40824147848e-09,-1,-1,0.113673787,0.034844578,0.008529997,0.00702041,0.005976389,0.00618543,0.042777054,0.097425637
513,1,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031132915e-07,9.587158253e-09,-1,-1,0.614375336,0.015779628,0.014606739,0.015172866,0.014660316,0.015131374,0.524806484,0.59927616
513,2,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031140734e-07,9.58715833917e-09,-1,-1,0.365486202,0.034893811,0.017743611,0.013442611,0.013017421,0.013942778,0.26078219,0.345446205
513,4,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031135441e-07,9.58715828084e-09,-1,-1,0.263933987,0.049732554,0.017374405,0.014111531,0.012161682,0.012428651,0.16079055,0.248124646
513,8,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031136991e-07,9.58715829792e-09,-1,-1,0.226539625,0.044519198,0.017049282,0.014194233,0.012084263,0.012338274,0.121497588,0.205572153
1025,1,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407418617e-06,9.99493905881e-09,-1,-1,4.472208815,0.031335245,0.048164082,0.052579369,0.052778672,0.052669537,4.220611006,4.456460621
1025,2,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407420911e-06,9.99493918518e-09,-1,-1,2.647544466,0.063118082,0.046865099,0.041186558,0.037231118,0.040387098,2.430152474,2.625427038
1025,4,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407419316e-06,9.9949390973e-09,-1,-1,1.341417474,0.074923386,0.039736343,0.036122256,0.029644319,0.035928637,1.142006173,1.325046039
1025,8,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407418641e-06,9.99493906014e-09,-1,-1,0.725980638,0.066279018,0.037036336,0.034506043,0.026779567,0.034697348,0.547092116,0.709584958
2049,1,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511394e-06,9.53974919921e-09,-1,-1,32.15018662,0.063758195,0.252002062,0.276128343,0.278342743,0.276079222,30.988394045,32.130013791
2049,2,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511247e-06,9.53974919516e-09,-1,-1,17.652276165,0.639733418,0.169842607,0.180683038,0.16446164,0.174586114,16.352127458,17.630962186
2049,4,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511222e-06,9.53974919447e-09,-1,-1,9.31968245,0.125690986,0.118803204,0.113037217,0.108680603,0.114092274,8.788013698,9.301092608
2049,8,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511273e-06,9.53974919588e-09,-1,-1,5.418920075,0.122116994,0.094096168,0.090632489,0.07882817,0.088859977,5.000272153,5.401749738
4097,1,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596757795e-06,9.99448565929e-09,-1,-1,253.786768719,0.130858722,1.74814107,2.032826126,2.027671796,2.00680386,245.818946459,253.748182753
4097,2,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596694192e-06,9.99448478321e-09,-1,-1,131.236533474,1.302276616,0.962066059,1.066404739,1.063911127,1.061219886,125.859088834,131.207216119
4097,4,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596679925e-06,9.9944845867e-09,-1,-1,67.539792699,1.265556933,0.54198395,0.580590907,0.572520743,0.570170589,64.12251006,67.517934301
4097,8,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596680855e-06,9.99448459951e-09,-1,-1,36.225006644,1.242420794,0.345507176,0.349516859,0.332280832,0.343979371,33.731835617,36.206897966
