N,nprocs,tol,max_iters,mode,converged,iters,res0,res_final,rel_final,l2_error,max_error,runtime_sec
513,1,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70029501046e-07,9.5871402709e-09,-1,-1,0.774295
513,2,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70029493618e-07,9.58714018905e-09,-1,-1,0.414169
513,4,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70029497481e-07,9.58714023162e-09,-1,-1,0.232349
513,8,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70029499484e-07,9.58714025369e-09,-1,-1,0.644497
1025,1,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81410183003e-06,9.9950913672e-09,-1,-1,12.924746
1025,2,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81409946626e-06,9.99507834359e-09,-1,-1,3.656712
1025,4,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81409917853e-06,9.99507675833e-09,-1,-1,2.44095
1025,8,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81409910419e-06,9.99507634871e-09,-1,-1,3.81154
2049,1,1e-08,10000,GenericRHS,1,3140,362.998548664,3.46481443312e-06,9.54498150439e-09,-1,-1,54.048256
2049,2,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46327435546e-06,9.54073884922e-09,-1,-1,52.073882
2049,4,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46305750682e-06,9.54014146766e-09,-1,-1,29.676944
2049,8,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46301832793e-06,9.54003353639e-09,-1,-1,24.19364
4097,1,1e-08,10000,GenericRHS,1,6337,725.997097324,7.20151798065e-06,9.9194859142e-09,-1,-1,444.718651
4097,2,1e-08,10000,GenericRHS,1,6324,725.997097327,7.2339640464e-06,9.96417764345e-09,-1,-1,849.7839
4097,4,1e-08,10000,GenericRHS,1,6324,725.997097329,7.1409371931e-06,9.83604096955e-09,-1,-1,213.187174
4097,8,1e-08,10000,GenericRHS,1,6324,725.99709733,7.11579456964e-06,9.80140911832e-09,-1,-1,231.974857
