N,nprocs,tol,max_iters,mode,converged,iters,res0,res_final,rel_final,l2_error,max_error,runtime_sec,t_halo,t_applyA,t_axpy_u,t_axpy_r,t_update_p,t_dot,t_dot_init,t_dot_pAp,t_dot_rr,t_cg_total
257,1,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897637797e-07,9.40825001902e-09,-1,-1,0.074184232,0.008165164,0.006508534,0.006381737,0.006344634,0.006343766,0.026493173,0.000813849,0.01277983,0.012899494,0.059538818
257,2,1e-08,10000,GenericRHS,1,399,45.3748185831,4.2689731067e-07,9.40824280957e-09,-1,-1,0.096234099,0.025134575,0.00843819,0.006815287,0.006218058,0.006252026,0.03564823,0.008965606,0.016876294,0.013707237,0.082894094
257,4,1e-08,10000,GenericRHS,1,399,45.3748185831,4.2689763434e-07,9.40824994283e-09,-1,-1,0.105129111,0.037206063,0.00863666,0.007022514,0.006077998,0.006118627,0.032492454,0.000948284,0.018190318,0.014359858,0.089393203
257,8,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897176435e-07,9.4082398512e-09,-1,-1,0.108267099,0.034231088,0.008617129,0.007074339,0.006019797,0.006225443,0.038835794,0.000993534,0.023730597,0.01572788,0.092785062
513,1,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031138475e-07,9.58715831427e-09,-1,-1,0.146455394,0.015961651,0.014949953,0.015083177,0.014812986,0.015067742,0.054892274,0.000813429,0.027467765,0.02661108,0.130158886
513,2,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031138475e-07,9.58715831427e-09,-1,-1,0.165172383,0.03256791,0.017166839,0.014120672,0.01370872,0.013502156,0.063105734,0.009013838,0.034983069,0.027466494,0.150225749
513,4,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031138475e-07,9.58715831427e-09,-1,-1,0.17038118,0.048327666,0.017549951,0.014675876,0.012616621,0.012690089,0.065707221,0.00094559,0.037523834,0.028413957,0.154765941
513,8,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031136563e-07,9.5871582932e-09,-1,-1,0.17257959,0.046167797,0.017164289,0.014219618,0.012125446,0.012268761,0.070133331,0.001413876,0.041924953,0.031030349,0.156721011
1025,1,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407419574e-06,9.99493911154e-09,-1,-1,0.402916498,0.031814099,0.050998092,0.05364634,0.052171092,0.052186549,0.147919133,0.000851401,0.075189223,0.071878509,0.38827462
1025,2,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407417909e-06,9.99493901978e-09,-1,-1,0.353284838,0.055616019,0.045713097,0.040448991,0.037903839,0.039471192,0.141771243,0.001947866,0.076959427,0.063086504,0.338171157
1025,4,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407419683e-06,9.99493911752e-09,-1,-1,0.333538541,0.069747107,0.039833767,0.035755319,0.030593432,0.031100369,0.138155759,0.000918789,0.078298071,0.063216962,0.31775366
1025,8,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407420619e-06,9.99493916909e-09,-1,-1,0.316994694,0.067290459,0.036833391,0.031455356,0.026823134,0.027501505,0.143053022,0.000955763,0.084961234,0.06359906,0.301413369
2049,1,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511227e-06,9.5397491946e-09,-1,-1,1.820736986,0.064021765,0.257317866,0.28513447,0.286469642,0.282010373,0.628355883,0.000867492,0.327961473,0.299526918,1.803212824
2049,2,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511283e-06,9.53974919616e-09,-1,-1,1.20582517,0.099982883,0.172584953,0.169746475,0.172338545,0.169988976,0.460570185,0.000927435,0.248121501,0.211521249,1.190268772
2049,4,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511293e-06,9.53974919642e-09,-1,-1,0.900925534,0.117885367,0.120146938,0.117462839,0.109833441,0.107228193,0.375994027,0.000958865,0.210499771,0.174021267,0.88482178
2049,8,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511321e-06,9.53974919719e-09,-1,-1,0.746481293,0.113497791,0.094288309,0.090226784,0.078534062,0.07953367,0.340418356,0.001486474,0.196611231,0.156649137,0.730102387
4097,1,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596679926e-06,9.99448458671e-09,-1,-1,11.897819895,0.133061439,1.772311583,1.982489199,2.039272833,1.98436117,3.965354074,0.001070225,2.0825654,1.881718449,11.877319531
4097,2,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596679878e-06,9.99448458605e-09,-1,-1,6.704834364,0.229086636,0.986607229,1.086711312,1.08249011,1.075515143,2.323379807,0.001060817,1.238274349,1.150063248,6.686119018
4097,4,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596679901e-06,9.99448458637e-09,-1,-1,3.86363094,0.219296613,0.55711003,0.602841729,0.585835899,0.584710921,1.451857898,0.001018839,0.786557115,0.673806548,3.845190464
4097,8,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596679911e-06,9.9944845865e-09,-1,-1,2.538113942,0.223520118,0.348645563,0.366607248,0.337807812,0.344024626,1.074123889,0.001415149,0.598012505,0.513417612,2.52077432
