N,nprocs,tol,max_iters,mode,converged,iters,res0,res_final,rel_final,l2_error,max_error,runtime_sec,t_halo,t_applyA,t_axpy_u,t_axpy_r,t_update_p,t_dot,t_dot_init,t_dot_pAp,t_dot_rr,t_cg_total,points_interior,flops_total_applyA,bytes_total_applyA,AI_applyA,GFLOPs_applyA,GBs_applyA
257,1,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897634193e-07,9.40824993958e-09,-1,-1,0.071414776,0.008407673,0.006418127,0.006321732,0.006255136,0.00625684,0.025439915,0.000778102,0.012827738,0.012612177,0.059213212,65025,155669850.0,1245358800.0,0.125,24.254716368186543,194.03773094549234
257,2,1e-08,10000,GenericRHS,1,399,45.3748185831,4.2689765536e-07,9.40825040607e-09,-1,-1,0.099529338,0.027227494,0.008300986,0.006514455,0.006151349,0.006154048,0.030395121,0.006602637,0.017454405,0.013184857,0.079075505,65025,155669850.0,1245358800.0,0.125,9.376587913773134,75.01270331018507
257,4,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897655278e-07,9.40825040428e-09,-1,-1,0.110727082,0.042442108,0.008623946,0.00691319,0.005997202,0.005963577,0.038168615,0.000923558,0.024339667,0.014168851,0.094216783,65025,155669850.0,1245358800.0,0.125,4.512721032807951,36.10176826246361
257,8,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897767823e-07,9.4082528846e-09,-1,-1,0.110091559,0.036262548,0.008609133,0.007040633,0.006033083,0.006105982,0.03651143,0.001009663,0.022522472,0.01510783,0.093127612,65025,155669850.0,1245358800.0,0.125,2.2602428432688866,18.081942746151093
513,1,1e-08,10000,GenericRHS,1,776,90.7496371662,8.7003113656e-07,9.58715829317e-09,-1,-1,0.143234829,0.01573776,0.015021397,0.014987129,0.014534718,0.014875655,0.053326648,0.000815483,0.026875354,0.026451294,0.12868464,261121,1215779376.0,9726235008.0,0.125,80.93650517325386,647.4920413860309
513,2,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031136577e-07,9.58715829335e-09,-1,-1,0.163507719,0.035189575,0.017440582,0.013800142,0.012935038,0.013279849,0.062009096,0.003857391,0.034204868,0.028339578,0.144126326,261121,1215779376.0,9726235008.0,0.125,34.854896929471735,278.8391754357739
513,4,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031138476e-07,9.58715831428e-09,-1,-1,0.176097809,0.051800865,0.01777521,0.014186098,0.012359272,0.012310772,0.06361006,0.000998119,0.036624518,0.0285753,0.159552413,261121,1215779376.0,9726235008.0,0.125,17.099367264859318,136.79493811887454
513,8,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031136602e-07,9.58715829363e-09,-1,-1,0.174305006,0.04645434,0.017287171,0.014117514,0.012012902,0.012224484,0.070162228,0.001551849,0.041983043,0.029845847,0.157642629,261121,1215779376.0,9726235008.0,0.125,8.791052162323147,70.32841729858518
1025,1,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407420259e-06,9.99493914929e-09,-1,-1,0.395123576,0.031870759,0.048812539,0.052234959,0.05170398,0.051681343,0.144159938,0.00083999,0.074985262,0.069174676,0.380852115,1046529,9782953092.0,78263624736.0,0.125,200.41885327866268,1603.3508262293014
1025,2,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407420641e-06,9.99493917031e-09,-1,-1,0.352815069,0.056278449,0.044467877,0.039733675,0.036281197,0.038017549,0.139501987,0.003441163,0.077938453,0.06355799,0.333156973,1046529,9782953092.0,78263624736.0,0.125,110.00022659053411,880.0018127242729
